mu_GeV,field_name,E_field_V_per_m,log_rate_standard,log_rate_liv,enhancement_factor,log_enhancement,observable_standard,observable_liv,exponential_enhancement,net_enhancement_db,model,coupling
3.8566204211634566e+17,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0,0.0,True,True,False,0.0,polynomial,0.1
6.210169418915603e+17,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
6.210169418915603e+17,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
6.210169418915603e+17,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
6.210169418915603e+17,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
6.210169418915603e+17,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0,0.0,True,True,False,0.0,polynomial,0.1
1e+18,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
1e+18,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1e+18,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
1e+18,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1e+18,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0,0.0,True,True,False,0.0,polynomial,0.1
1000000000000.0,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,1.0
1000000000000.0,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.000000000000001,4.821637332766433e-16,False,False,False,4.821637332766433e-15,polynomial,1.0
1000000000000.0,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,1.0
1000000000000.0,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.000000000000001,4.821637332766433e-16,False,False,False,4.821637332766433e-15,polynomial,1.0
1000000000000.0,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489902,1.000000000001323,5.745463045720684e-13,True,True,False,5.745463045720684e-12,polynomial,1.0
1610262027560.9426,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,1.0
1610262027560.9426,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000007,2.8929823996598605e-16,False,False,False,2.8929823996598604e-15,polynomial,1.0
1610262027560.9426,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,1.0
1610262027560.9426,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0000000000000007,2.8929823996598605e-16,False,False,False,2.8929823996598604e-15,polynomial,1.0
